id,name,urban_rural,population,city,province,region
898,Bangkal,Urban,21077,CITY OF MAKATI,METRO MANILA,NCR - National Capital Region
899,Bel-Air,Urban,30296,CITY OF MAKATI,METRO MANILA,NCR - National Capital Region
900,Cembo,Urban,26589,CITY OF MAKATI,METRO MANILA,NCR - National Capital Region
901,Comembo,Urban,15094,CITY OF MAKATI,METRO MANILA,NCR - National Capital Region
902,Carmona,Urban,3709,CITY OF MAKATI,METRO MANILA,NCR - National Capital Region
903,Dasmariñas,Urban,9173,CITY OF MAKATI,METRO MANILA,NCR - National Capital Region
904,East Rembo,Urban,23119,CITY OF MAKATI,METRO MANILA,NCR - National Capital Region
905,Forbes Park,Urban,7192,CITY OF MAKATI,METRO MANILA,NCR - National Capital Region
906,Guadalupe Nuevo,Urban,23359,CITY OF MAKATI,METRO MANILA,NCR - National Capital Region
907,Guadalupe Viejo,Urban,13480,CITY OF MAKATI,METRO MANILA,NCR - National Capital Region
908,Kasilawan,Urban,5756,CITY OF MAKATI,METRO MANILA,NCR - National Capital Region
909,La Paz,Urban,8974,CITY OF MAKATI,METRO MANILA,NCR - National Capital Region
910,Magallanes,Urban,8579,CITY OF MAKATI,METRO MANILA,NCR - National Capital Region
911,Olympia,Urban,22119,CITY OF MAKATI,METRO MANILA,NCR - National Capital Region
912,Palanan,Urban,19689,CITY OF MAKATI,METRO MANILA,NCR - National Capital Region
913,Pembo,Urban,38332,CITY OF MAKATI,METRO MANILA,NCR - National Capital Region
914,Pinagkaisahan,Urban,5325,CITY OF MAKATI,METRO MANILA,NCR - National Capital Region
915,Pio Del Pilar,Urban,30240,CITY OF MAKATI,METRO MANILA,NCR - National Capital Region
916,Pitogo,Urban,14984,CITY OF MAKATI,METRO MANILA,NCR - National Capital Region
917,Poblacion,Urban,20182,CITY OF MAKATI,METRO MANILA,NCR - National Capital Region
918,Post Proper Northside,Urban,0,CITY OF MAKATI,METRO MANILA,NCR - National Capital Region
919,Post Proper Southside,Urban,0,CITY OF MAKATI,METRO MANILA,NCR - National Capital Region
920,San Antonio,Urban,11673,CITY OF MAKATI,METRO MANILA,NCR - National Capital Region
921,San Isidro,Urban,7615,CITY OF MAKATI,METRO MANILA,NCR - National Capital Region
922,San Lorenzo,Urban,15144,CITY OF MAKATI,METRO MANILA,NCR - National Capital Region
923,Santa Cruz,Urban,6499,CITY OF MAKATI,METRO MANILA,NCR - National Capital Region
924,Singkamas,Urban,6623,CITY OF MAKATI,METRO MANILA,NCR - National Capital Region
925,South Cembo,Urban,15186,CITY OF MAKATI,METRO MANILA,NCR - National Capital Region
926,Tejeros,Urban,17690,CITY OF MAKATI,METRO MANILA,NCR - National Capital Region
927,Urdaneta,Urban,7068,CITY OF MAKATI,METRO MANILA,NCR - National Capital Region
928,Valenzuela,Urban,7459,CITY OF MAKATI,METRO MANILA,NCR - National Capital Region
929,West Rembo,Urban,28578,CITY OF MAKATI,METRO MANILA,NCR - National Capital Region
930,Rizal,Urban,39580,CITY OF MAKATI,METRO MANILA,NCR - National Capital Region
931,Alabang,Urban,59512,CITY OF MUNTINLUPA,METRO MANILA,NCR - National Capital Region
932,Bayanan,Urban,35865,CITY OF MUNTINLUPA,METRO MANILA,NCR - National Capital Region
933,Buli,Urban,8842,CITY OF MUNTINLUPA,METRO MANILA,NCR - National Capital Region
934,Cupang,Urban,63149,CITY OF MUNTINLUPA,METRO MANILA,NCR - National Capital Region
935,Poblacion,Urban,69600,CITY OF MUNTINLUPA,METRO MANILA,NCR - National Capital Region
936,Putatan,Urban,88073,CITY OF MUNTINLUPA,METRO MANILA,NCR - National Capital Region
937,Sucat,Urban,52174,CITY OF MUNTINLUPA,METRO MANILA,NCR - National Capital Region
938,Tunasan,Urban,55502,CITY OF MUNTINLUPA,METRO MANILA,NCR - National Capital Region
939,New Alabang Village,Urban,20226,CITY OF MUNTINLUPA,METRO MANILA,NCR - National Capital Region
940,Baclaran,Urban,26159,CITY OF PARAÑAQUE,METRO MANILA,NCR - National Capital Region
941,Don Galo,Urban,9106,CITY OF PARAÑAQUE,METRO MANILA,NCR - National Capital Region
942,La Huerta,Urban,7298,CITY OF PARAÑAQUE,METRO MANILA,NCR - National Capital Region
943,San Dionisio,Urban,60175,CITY OF PARAÑAQUE,METRO MANILA,NCR - National Capital Region
944,Santo Niño,Urban,28019,CITY OF PARAÑAQUE,METRO MANILA,NCR - National Capital Region
945,Tambo,Urban,25371,CITY OF PARAÑAQUE,METRO MANILA,NCR - National Capital Region
946,B. F. Homes,Urban,80316,CITY OF PARAÑAQUE,METRO MANILA,NCR - National Capital Region
947,Don Bosco,Urban,42338,CITY OF PARAÑAQUE,METRO MANILA,NCR - National Capital Region
948,Marcelo Green Village,Urban,28103,CITY OF PARAÑAQUE,METRO MANILA,NCR - National Capital Region
949,Merville,Urban,17118,CITY OF PARAÑAQUE,METRO MANILA,NCR - National Capital Region
950,Moonwalk,Urban,49680,CITY OF PARAÑAQUE,METRO MANILA,NCR - National Capital Region
951,San Antonio,Urban,55719,CITY OF PARAÑAQUE,METRO MANILA,NCR - National Capital Region
952,San Isidro,Urban,60405,CITY OF PARAÑAQUE,METRO MANILA,NCR - National Capital Region
953,San Martin De Porres,Urban,23519,CITY OF PARAÑAQUE,METRO MANILA,NCR - National Capital Region
954,Sun Valley,Urban,35448,CITY OF PARAÑAQUE,METRO MANILA,NCR - National Capital Region
